Nadir angle (deg),GAL FOC E5
0,14.34
0.1,14.34
0.2,14.34
0.3,14.34
0.4,14.34
0.5,14.35
0.6,14.35
0.7,14.35
0.8,14.35
0.9,14.36
1,14.36
1.1,14.37
1.2,14.38
1.3,14.4
1.4,14.42
1.5,14.43
1.6,14.45
1.7,14.47
1.8,14.48
1.9,14.5
2,14.52
2.1,14.53
2.2,14.55
2.3,14.57
2.4,14.58
2.5,14.6
2.6,14.62
2.7,14.65
2.8,14.67
2.9,14.69
3,14.71
3.1,14.74
3.2,14.76
3.3,14.78
3.4,14.8
3.5,14.83
3.6,14.85
3.7,14.87
3.8,14.9
3.9,14.92
4,14.95
4.1,14.97
4.2,15
4.3,15.02
4.4,15.05
4.5,15.07
4.6,15.1
4.7,15.13
4.8,15.15
4.9,15.18
5,15.2
5.1,15.23
5.2,15.25
5.3,15.28
5.4,15.31
5.5,15.33
5.6,15.36
5.7,15.39
5.8,15.41
5.9,15.43
6,15.45
6.1,15.48
6.2,15.5
6.3,15.52
6.4,15.54
6.5,15.55
6.6,15.57
6.7,15.59
6.8,15.61
6.9,15.63
7,15.65
7.1,15.67
7.2,15.68
7.3,15.69
7.4,15.7
7.5,15.71
7.6,15.72
7.7,15.73
7.8,15.74
7.9,15.76
8,15.76
8.1,15.77
8.2,15.77
8.3,15.78
8.4,15.78
8.5,15.79
8.6,15.79
8.7,15.79
8.8,15.79
8.9,15.79
9,15.79
9.1,15.79
9.2,15.79
9.3,15.79
9.4,15.78
9.5,15.77
9.6,15.76
9.7,15.74
9.8,15.73
9.9,15.72
10,15.7
10.1,15.69
10.2,15.68
10.3,15.66
10.4,15.64
10.5,15.62
10.6,15.59
10.7,15.57
10.8,15.55
10.9,15.53
11,15.5
11.1,15.48
11.2,15.45
11.3,15.42
11.4,15.4
11.5,15.37
11.6,15.34
11.7,15.31
11.8,15.28
11.9,15.24
12,15.21
12.1,15.18
12.2,15.15
12.3,15.11
12.4,15.07
12.5,15.03
12.6,14.98
12.7,14.93
12.8,14.89
12.9,14.84
13,14.8
13.1,14.76
13.2,14.71
13.3,14.67
13.4,14.63
13.5,14.58
13.6,14.52
13.7,14.47
13.8,14.41
13.9,14.36
14,14.3
14.1,14.24
14.2,14.18
14.3,14.13
14.4,14.07
14.5,14
14.6,13.94
14.7,13.88
14.8,13.82
14.9,13.75
15,13.67
15.1,13.59
15.2,13.52
15.3,13.45
15.4,13.38
15.5,13.31
15.6,13.24
15.7,13.17
15.8,13.11
15.9,13.04
16,12.97
16.1,12.91
16.2,12.84
16.3,12.78
16.4,12.71
16.5,12.64
16.6,12.58
16.7,12.51
16.8,12.44
16.9,12.38
17,12.31
17.1,12.24
17.2,12.18
17.3,12.11
17.4,12.05
17.5,11.98
17.6,11.91
17.7,11.85
17.8,11.78
17.9,11.71
18,11.65
18.1,11.58
18.2,11.51
18.3,11.45
18.4,11.38
18.5,11.31
18.6,11.25
18.7,11.18
18.8,11.12
18.9,11.05
19,10.98
19.1,10.92
19.2,10.85
19.3,10.78
19.4,10.72
19.5,10.65
19.6,10.58
19.7,10.52
19.8,10.45
19.9,10.38
20,10.32
